group_id,group_type,phash_hamming_threshold,sha256_or_min_pair_hamming,filename
exact-0160,exact,,c3001efcbbb36f9f7fab68b1c96e0fc3360b240b6e6bacdd18d13910e905aeae,data/DFU/Patches/Normal(Healthy skin)/217.jpg
exact-0160,exact,,c3001efcbbb36f9f7fab68b1c96e0fc3360b240b6e6bacdd18d13910e905aeae,data/DFU/Patches/Normal(Healthy skin)/472.jpg
exact-0161,exact,,1d4ae0988508c1b9ad41c987fe98fa2a5a0d556d7762f0eb775300f52d204a6a,data/DFU/Patches/Normal(Healthy skin)/218.jpg
exact-0161,exact,,1d4ae0988508c1b9ad41c987fe98fa2a5a0d556d7762f0eb775300f52d204a6a,data/DFU/Patches/Normal(Healthy skin)/466.jpg
exact-0162,exact,,a133a3cf732fd264040d1c2d8b5936acce228d7dfdd55e0fd1c6f293086ec2b8,data/DFU/Patches/Normal(Healthy skin)/219.jpg
exact-0162,exact,,a133a3cf732fd264040d1c2d8b5936acce228d7dfdd55e0fd1c6f293086ec2b8,data/DFU/Patches/Normal(Healthy skin)/499.jpg
exact-0163,exact,,761574f1cbcf5e0c8fccfc7830fbc21083325678434c1fb958fcc044782f7021,data/DFU/Patches/Normal(Healthy skin)/220.jpg
exact-0163,exact,,761574f1cbcf5e0c8fccfc7830fbc21083325678434c1fb958fcc044782f7021,data/DFU/Patches/Normal(Healthy skin)/467.jpg
exact-0164,exact,,55ab2e6b11c529abf4e0a932812c6dfe07f0a6061d9c0ee0ae63b75c11639b85,data/DFU/Patches/Normal(Healthy skin)/221.jpg
exact-0164,exact,,55ab2e6b11c529abf4e0a932812c6dfe07f0a6061d9c0ee0ae63b75c11639b85,data/DFU/Patches/Normal(Healthy skin)/484.jpg
exact-0165,exact,,58cc255df869fbd4b7253341b76113ed9870b3ee38d04748f8df6692848f7f0a,data/DFU/Patches/Normal(Healthy skin)/222.jpg
exact-0165,exact,,58cc255df869fbd4b7253341b76113ed9870b3ee38d04748f8df6692848f7f0a,data/DFU/Patches/Normal(Healthy skin)/460.jpg
exact-0166,exact,,505aa476080fc7ebe8fc227bf842ff68679c782a600786ae183df7300d2a6751,data/DFU/Patches/Normal(Healthy skin)/223.jpg
exact-0166,exact,,505aa476080fc7ebe8fc227bf842ff68679c782a600786ae183df7300d2a6751,data/DFU/Patches/Normal(Healthy skin)/513.jpg
exact-0167,exact,,a1202a1ec96a4971e8094df586e5921a53d00015b61d8cab19f089752fda8bb4,data/DFU/Patches/Normal(Healthy skin)/224.jpg
exact-0167,exact,,a1202a1ec96a4971e8094df586e5921a53d00015b61d8cab19f089752fda8bb4,data/DFU/Patches/Normal(Healthy skin)/485.jpg
exact-0168,exact,,f56c9a1ba0015ebb0731ddcafe8ef0a68aa5379cdb2f20faaebd0c6ecc6df252,data/DFU/Patches/Normal(Healthy skin)/225.jpg
exact-0168,exact,,f56c9a1ba0015ebb0731ddcafe8ef0a68aa5379cdb2f20faaebd0c6ecc6df252,data/DFU/Patches/Normal(Healthy skin)/450.jpg
exact-0169,exact,,8004ddf601aac5478618a629112f7fced10e05234f4fbc3c59388a20b0da2368,data/DFU/Patches/Normal(Healthy skin)/226.jpg
exact-0169,exact,,8004ddf601aac5478618a629112f7fced10e05234f4fbc3c59388a20b0da2368,data/DFU/Patches/Normal(Healthy skin)/506.jpg
exact-0170,exact,,2d53f99c3500ee0bf4dca20ceaad359c26b5bd8088111cef09bfe4154e3bf821,data/DFU/Patches/Normal(Healthy skin)/227.jpg
exact-0170,exact,,2d53f99c3500ee0bf4dca20ceaad359c26b5bd8088111cef09bfe4154e3bf821,data/DFU/Patches/Normal(Healthy skin)/515.jpg
exact-0171,exact,,5eec55ec3221003c5676e9ff77a392bf4a3908b45a944dfdf960c14b267a28f6,data/DFU/Patches/Normal(Healthy skin)/228.jpg
exact-0171,exact,,5eec55ec3221003c5676e9ff77a392bf4a3908b45a944dfdf960c14b267a28f6,data/DFU/Patches/Normal(Healthy skin)/461.jpg
exact-0172,exact,,cb7957124bdb65fc9c066cea31a2332d4f8fb88d60714f811d5e8e61ffed10ef,data/DFU/Patches/Normal(Healthy skin)/229.jpg
exact-0172,exact,,cb7957124bdb65fc9c066cea31a2332d4f8fb88d60714f811d5e8e61ffed10ef,data/DFU/Patches/Normal(Healthy skin)/479.jpg
exact-0173,exact,,020267d08f9070c1e9677c1243e32ccc57fed04116e22707984859e601f71b32,data/DFU/Patches/Normal(Healthy skin)/230.jpg
exact-0173,exact,,020267d08f9070c1e9677c1243e32ccc57fed04116e22707984859e601f71b32,data/DFU/Patches/Normal(Healthy skin)/507.jpg
exact-0174,exact,,39ef723acbd969c038346d1b3bc06da31ba7da73dd6d9ac695bb7427b4e3d5c6,data/DFU/Patches/Normal(Healthy skin)/231.jpg
exact-0174,exact,,39ef723acbd969c038346d1b3bc06da31ba7da73dd6d9ac695bb7427b4e3d5c6,data/DFU/Patches/Normal(Healthy skin)/503.jpg
exact-0175,exact,,54e4980953e78184d675126aff82ba3d2fc21a6dba36a01e4c192b34ea655e98,data/DFU/Patches/Normal(Healthy skin)/232.jpg
exact-0175,exact,,54e4980953e78184d675126aff82ba3d2fc21a6dba36a01e4c192b34ea655e98,data/DFU/Patches/Normal(Healthy skin)/481.jpg
exact-0176,exact,,804babd6a9cbd9e610288183f86b3afc7f104acfb818ef89fe96c8a1041f12cd,data/DFU/Patches/Normal(Healthy skin)/233.jpg
exact-0176,exact,,804babd6a9cbd9e610288183f86b3afc7f104acfb818ef89fe96c8a1041f12cd,data/DFU/Patches/Normal(Healthy skin)/520.jpg
exact-0177,exact,,06e6438e86e80bc61248c3857ed094c422440025420e071e33ffa4d43c38af86,data/DFU/Patches/Normal(Healthy skin)/234.jpg
exact-0177,exact,,06e6438e86e80bc61248c3857ed094c422440025420e071e33ffa4d43c38af86,data/DFU/Patches/Normal(Healthy skin)/482.jpg
exact-0178,exact,,fc7b9ffe32dd4e575bc0bb602921674ee2e26219f772618a216d02d08e41d3c7,data/DFU/Patches/Normal(Healthy skin)/235.jpg
exact-0178,exact,,fc7b9ffe32dd4e575bc0bb602921674ee2e26219f772618a216d02d08e41d3c7,data/DFU/Patches/Normal(Healthy skin)/519.jpg
exact-0179,exact,,daa3f4fe02521bc2586e0ac51e8458c1e7d5ee3de5b8d92d576fffebde92fd10,data/DFU/Patches/Normal(Healthy skin)/236.jpg
exact-0179,exact,,daa3f4fe02521bc2586e0ac51e8458c1e7d5ee3de5b8d92d576fffebde92fd10,data/DFU/Patches/Normal(Healthy skin)/483.jpg
exact-0180,exact,,403d49f7f0ff84da4dca978a00fbe599c29dbfb5e30c35fafafb415fd465c862,data/DFU/Patches/Normal(Healthy skin)/237.jpg
exact-0180,exact,,403d49f7f0ff84da4dca978a00fbe599c29dbfb5e30c35fafafb415fd465c862,data/DFU/Patches/Normal(Healthy skin)/508.jpg
exact-0181,exact,,1d231a771e9744fed90a7422aa8db788c1ab9d9ca2bed3ceb689cb0cc7426e4c,data/DFU/Patches/Normal(Healthy skin)/238.jpg
exact-0181,exact,,1d231a771e9744fed90a7422aa8db788c1ab9d9ca2bed3ceb689cb0cc7426e4c,data/DFU/Patches/Normal(Healthy skin)/516.jpg
exact-0182,exact,,75f00640854a2816756d4e0fd11fc76206af2b269f5b21ebe9381d32da8d6955,data/DFU/Patches/Normal(Healthy skin)/239.jpg
